"FSC.A","SSC.A","FL1.A","FL2.A","FL3.A","FL4.A","FSC.H","SSC.H","FL1.H","FL2.H","FL3.H","FL4.H","Width","Time","Species","Media","Temp","Rep","Time_point","hours"
15983.6025001678,2073.91014145106,22480.0002725415,4286.04767172372,1691.67725771107,452.507109626828,16614.8701960796,6316.29768550109,18919.1922089191,3686.41130826953,1593.06200320036,348.16680143445,62.1873242132117,299.891090597017,"Amac","noB12","med","1","3",12
16294.8977367021,2090.24150071791,26563.9122092866,5105.9175843306,2009.66597267025,459.181370861984,16853.2413451958,6330.51183824097,22166.3901176249,4350.52927577879,1859.99415036277,376.154020045292,64.2738071706719,306.057470929912,"Amac","noB12","med","2","3",12
16054.0040813463,2070.54526265147,22904.5569494142,4366.86081927614,1721.26816209119,454.114708682884,16595.3096210322,6301.32939832216,19167.4174289122,3739.15552916178,1615.0638492147,351.20432490403,62.5631536217939,296.960639865292,"Amac","noB12","med","3","3",12
19358.346618355,2526.10383713433,31754.5592787017,6160.07511862656,2437.61018184998,466.404337064163,20118.7276318011,6747.39293915215,26760.3240208352,5275.39578761321,2235.92265324843,408.72643790843,66.0188541478108,333.256868950453,"Rpom","full","hot","1","3",12
17949.319957404,2530.6817184712,46931.6066141343,9228.18508390015,3663.6644571593,490.090543869124,18574.7405463515,6724.23650104818,39119.1544196396,7779.23686884909,3255.23037103309,494.083113885548,70.5667183749482,340.732307813895,"Rpom","full","hot","2","3",12
18149.5231149044,2409.19040138309,26747.9478487429,5151.19430042898,2039.00703994396,459.786027204246,18969.3126150127,6642.30272366373,22667.1228523363,4447.14072397549,1899.42208183948,376.581472041655,63.8886848716615,320.98268710258,"Rpom","full","hot","3","3",12
21789.602162252,2895.45518313308,37204.4299079498,7334.05535868946,2949.80201863858,473.458777364135,22877.3594386871,7103.11045638164,32044.9228980306,6374.45783725457,2699.52309306435,443.386465538622,67.5313787537835,353.882299321018,"Amac","full","hot","1","3",12
21530.9722228973,2763.74612207297,28476.1122449098,5562.72905375456,2236.82624525928,461.288313155266,22659.32013513,6985.01418887874,24583.5485760777,4862.42955962396,2084.29123310152,390.532623426464,64.4259047724861,354.936802780372,"Amac","full","hot","2","3",12
20343.9137964858,2661.52364117697,23384.314962386,4541.7190316792,1823.57901214428,453.972496236534,21399.7027419098,6900.04061239703,20187.4764269681,3977.2184576086,1721.46358884981,355.276195068362,62.2291760021972,355.810824121704,"Amac","full","hot","3","3",12
19757.5919588964,2624.89440151215,35769.8886923286,7002.27993588003,2791.70580108189,472.80704066501,20567.5596242612,6831.25247394474,30268.4548257065,6002.2547818459,2540.24034649846,434.465615405501,67.3641210133879,354.571282817101,"Rpom","noB12","hot","1","3",12
18992.4530961899,2678.81011462838,30871.6029646325,6003.69251550135,2393.54950130538,466.155393856572,19748.5056794077,6895.66812127764,26091.2699110712,5148.52726503223,2194.09041874031,402.963526964184,65.5381292322754,346.748426409399,"Rpom","noB12","hot","2","3",12
19791.5107290604,2549.16140261128,45430.2802654392,8942.55851450602,3570.53899230891,488.709736241998,20526.2292424525,6736.08908652661,38254.8591303505,7608.37384574288,3196.80296071529,487.037480803207,69.8244941277668,350.49741275193,"Rpom","noB12","hot","3","3",12
26889.2360804538,3823.98827641595,30183.7917005511,6013.32052208085,2471.77007935265,464.094334190335,27994.9512493876,8132.49767902332,26584.7878566702,5309.23088035479,2289.22374316208,397.802115902352,64.0974254585129,356.025793400243,"Amac","noB12","hot","1","3",12
24216.3363107834,3559.84670215847,25617.0821691173,5069.56097630123,2082.79700216474,457.633720989099,25082.4036588008,7856.97974172932,22307.252341426,4436.7874663594,1935.08117280888,371.550602138823,63.132195138744,354.523999489695,"Amac","noB12","hot","2","3",12
25887.8778801141,3613.3921585751,30098.7250870762,5984.26069437534,2452.8178457914,464.758550727581,26883.1092153498,7915.33787991105,26425.4435553479,5278.21199670989,2277.16067305056,400.640504889467,64.336358743666,356.158640088549,"Amac","noB12","hot","3","3",12
17690.4132248046,2449.73267692798,76528.9108961014,15207.5405196637,5972.49359066244,519.822835398109,18774.6879344277,6566.89906829118,64610.2790757995,12865.9033332196,5234.01399383411,616.64872416186,75.1755582858378,355.988531676963,"Rpom","full","cold","1","4",24
18402.7562097536,2327.99367229334,90706.9441537045,18075.8299968437,7120.64688598523,541.180597780639,19359.5803073179,6421.38773309963,75643.5443845128,15098.3506204602,6143.18246984469,672.574605440266,77.0856659114056,354.450866995597,"Rpom","full","cold","2","4",24
17129.0398774659,2340.53104764419,96372.8988126076,19278.1264036694,7621.49508928817,550.571855665,18067.2075071359,6429.32742331997,80235.388618852,16057.7805881415,6553.7971401387,697.173798170789,77.6963377276202,354.070038003157,"Rpom","full","cold","3","4",24
16783.7815337486,2122.05298712286,87438.8367221943,17400.3842100198,6844.04421992378,541.708773815085,17372.4088495983,6208.45156989601,71595.5997752566,14304.4187214685,5840.94363571115,663.701774891688,77.069994246087,332.624724584043,"Amac","full","cold","1","4",24
16447.8649636684,2039.1644366773,120474.033799462,24237.1022691818,9640.41004684031,592.452602401105,16774.9770001936,6118.86127784059,95859.4039693376,19304.5828102381,7931.31280780023,786.58884259589,80.837923897788,327.859368714203,"Amac","full","cold","2","4",24
17273.034469171,2104.49947711697,84806.1149710986,16879.6322553153,6661.07199843586,539.974232845877,17860.6682404961,6195.40840322653,69491.8279509302,13889.8860576224,5691.95310395997,657.135761088078,76.7629540133654,333.245956555088,"Amac","full","cold","3","4",24
19626.562670156,2359.8446723484,50090.56884595,9931.2296752047,3940.28472468825,484.584390938052,21123.9300848657,6491.2415687546,43430.227089091,8654.67431693145,3580.4924192129,506.992841225483,70.4468753055731,355.138662014235,"Rpom","noB12","cold","1","4",24
19533.9307384063,2419.84196605616,47461.1516619154,9369.38760308395,3704.43009706575,480.234713656575,20687.2671138191,6533.41114224392,40488.8651911768,8061.83132691179,3342.63396696433,492.121228742665,70.1271848811266,354.49132943684,"Rpom","noB12","cold","2","4",24
19374.8388898686,2385.7843973391,48945.8480767101,9662.84317056766,3817.59928350839,484.145065968904,20411.6336900753,6503.67437876035,41463.3277651778,8259.9003924914,3424.20971528994,499.736965143319,70.6536796581183,353.242248602493,"Rpom","noB12","cold","3","4",24
18621.2649027992,2168.60322402526,37317.5103403906,7295.31248653399,2865.96501293238,467.790652812003,19469.3456156684,6284.52726221411,31370.9034355731,6230.53810416652,2603.90156661653,440.104168524767,67.9105295911445,326.96803232443,"Amac","noB12","cold","1","4",24
18345.5615075389,2177.17538455989,34972.1544341619,6846.93825699582,2702.17352488517,464.347170007936,19397.7713271424,6304.49741088391,29754.7786165463,5911.1980693851,2479.11191915224,427.412562222953,67.0171919713354,345.273214872588,"Amac","noB12","cold","2","4",24
18316.7859255265,2190.61775770878,38669.9349851025,7572.52610333097,2978.14779615461,471.549369999376,19025.0727905718,6317.34769133892,32373.3038125952,6438.71511458306,2692.63690316922,448.232071186147,68.3733691705076,324.252372435687,"Amac","noB12","cold","3","4",24
18613.1900617851,2555.29248482577,33528.1305951201,6484.19952200163,2535.13393123433,464.878198075109,19087.2658301695,6669.85063860744,27707.6555187451,5465.97616758961,2297.42312830992,415.933843977462,66.8398544241047,301.186005247503,"Rpom","full","med","1","4",24
18964.9792818952,2572.25181236609,34923.1982049909,6788.35839963242,2663.77879569627,466.85438322877,19608.6194269047,6694.70817540809,29141.3311961768,5762.71060741463,2418.96559161115,423.97809979627,67.0334519817868,313.780322911364,"Rpom","full","med","2","4",24
18640.6298458877,2494.23482577289,38239.0837499443,7443.12468247763,2919.54632686877,473.596137874595,19120.4794233348,6610.82314358291,31534.3258498661,6244.50436529962,2617.60816827572,444.705893255764,68.3344143611268,306.366739860553,"Rpom","full","med","3","4",24
17865.468660025,2449.80198767947,30877.9607384699,5908.26865140648,2298.59635795869,462.678444691421,17894.0406605421,6523.23310788127,24916.5190445028,4888.97026898913,2071.05751482943,401.757862678346,66.3824684545827,275.806459306887,"Amac","full","med","1","4",24
16866.4781754795,2271.61958543276,22970.0933362177,4314.48878753554,1678.21708144422,450.590141884671,16832.4325163973,6349.29459572333,18559.4509522908,3595.60911358886,1552.48128217994,349.208000705067,63.0873952289814,267.124950049425,"Amac","full","med","2","4",24
18638.8084988242,2525.26114791661,42258.1821149363,8183.4709466366,3194.32483035888,483.264954424325,18448.9640756442,6580.30615025614,33490.2669726466,6623.70906673789,2778.28917610345,469.455596098505,70.3868118715647,275.745753198531,"Amac","full","med","3","4",24
18413.0650445622,2428.85122870899,34833.5751002305,6749.0531738888,2646.39735002125,471.964337010915,18837.9687356331,6535.3350689967,28774.849888225,5680.8195983849,2392.89903862327,426.758987103831,66.9106809556478,293.952267558556,"Rpom","noB12","med","1","4",24
18238.0543911254,2512.5054340637,36774.1559434409,7136.88799861056,2801.71031588556,474.366649601596,18536.8425560446,6606.468106999,30075.6601920376,5947.22401590586,2504.12176887028,437.823539093653,67.8781533776217,290.146830289389,"Rpom","noB12","med","2","4",24
16973.6444559223,2413.25355110091,21145.708833666,3991.43091920615,1569.52712365665,450.603654045397,17342.1897438562,6531.50308222213,17540.9884973161,3397.1573761941,1476.24307327753,336.25321695156,61.3703250926806,273.893877018777,"Rpom","noB12","med","3","4",24
19009.6991476665,2552.52448109761,55151.337289316,10791.8033984803,4271.08062546669,507.08109982282,18521.440911005,6568.95955812521,42907.4447289688,8551.10299055408,3600.41912077288,538.909126631981,73.8152523584645,275.888846902565,"Amac","noB12","med","1","4",24
18828.2601058853,2501.53131996121,36807.2905159417,7051.20358704924,2743.48414288174,476.739527534314,18463.6329312027,6547.62490369712,28982.1724911653,5700.49662675573,2407.16297216104,438.623084894573,68.776352746986,266.779236042503,"Amac","noB12","med","2","4",24
17779.4503356513,2329.50898381448,29004.195214586,5519.60356021153,2159.33745647571,462.924076582679,17572.6463008118,6387.8357807279,23172.7604985099,4537.93719156708,1945.09036595523,392.996296296296,65.8544668211967,266.956474708249,"Amac","noB12","med","3","4",24
21357.1900072593,2892.89781435866,32004.5294240779,6141.465061292,2417.49200749858,467.748303745989,21267.5557691197,6961.6353755063,26095.5631532382,5127.91066670516,2182.4155203633,405.845776997764,65.9900885145558,276.456707885467,"Rpom","full","hot","1","4",24
21214.211276429,3015.67956578003,43604.7832757624,8447.83812725406,3329.93170797442,488.000839390454,21014.0264119967,7069.87047156051,35022.4354142536,6926.0038924675,2916.09584995484,473.523458700138,70.0262556396546,280.370690666102,"Rpom","full","hot","2","4",24
22455.6467850055,3464.25000542349,42584.5973103611,8066.28398437621,3119.14654998755,490.182015493626,21013.9906199413,7434.44583480973,32095.6451104378,6277.46543479361,2647.211237269,464.889789475533,71.4037164866928,278.449889515718,"Rpom","full","hot","3","4",24
26158.8431457311,3469.7425310148,49493.5658502949,9849.05589184376,4010.41734926059,493.549605479703,26504.4823355696,7550.68333711193,41867.4275714301,8388.59235252036,3563.90553597083,506.888231583473,70.4425475779614,353.75707487604,"Amac","full","hot","1","4",24
23623.6817471895,3755.44647664019,51203.1629160499,10166.9099819756,4132.29242780018,498.087820288348,23656.6224244273,7770.127273196,41502.1570640136,8322.56176648141,3540.80352711938,500.518574414743,70.0080970355268,326.306139482125,"Amac","full","hot","2","4",24
22918.9819362627,3862.41308621265,61214.1399844818,12175.4253533856,4948.7537072437,517.649642171333,22560.2489401683,7819.46880106807,48183.6607747392,9694.45029627607,4115.2259814822,539.094895035479,71.672684300186,293.446579279314,"Amac","full","hot","3","4",24
21259.4933407738,3593.84192281558,55611.422381617,10838.9717643782,4322.33984301794,513.26023906418,20341.0072188295,7548.6055598074,42714.8734354404,8488.4701996878,3594.28676080286,528.326787353909,73.1423172076165,269.089467418947,"Rpom","noB12","hot","1","4",24
22416.7056178027,3316.53565211644,48826.2480356718,9597.52688126195,3867.22271020257,495.142192734944,22487.8611672229,7350.03577310477,40229.7447732508,8003.46032488831,3392.96548048357,504.450889930466,70.979010923061,318.002546617817,"Rpom","noB12","hot","2","4",24
20768.4028045873,3502.30904258806,45192.0601448288,8710.62714035528,3445.9896867524,497.276249561653,19963.5313960397,7477.06919272381,35036.5420599648,6919.62800612281,2937.27242644878,476.092581974762,70.2762828604044,270.757556995495,"Rpom","noB12","hot","3","4",24
38044.1752410483,4970.24728363172,37418.1519597591,7499.15194145821,3105.41400955827,473.695881786999,37991.0092157827,9180.53194804652,33374.7030844767,6695.33609240358,2874.18519932235,442.316926190078,65.6275673471095,353.041085396971,"Amac","noB12","hot","1","4",24
33843.6745857308,4388.71562664707,37905.1406382928,7582.71429258766,3137.6013480561,475.837739009865,34105.4804582166,8574.37822333904,33731.2919490608,6761.06821854955,2907.41318225657,448.205587303254,66.1228384410313,354.981038860494,"Amac","noB12","hot","2","4",24
32084.609746045,4539.2207665667,35322.8727143952,7057.95000530198,2910.4862478567,470.872088160972,31895.2434910657,8707.50562910529,31007.3788857033,6215.41410087373,2677.68975396798,430.576699685682,65.5324491359769,354.695654174661,"Amac","noB12","hot","3","4",24
17383.8337037447,2492.09503343291,98600.9464753739,19807.9903877707,8071.5613522751,566.009512079745,18069.4277154388,6656.35504306432,81693.4534048728,16414.9896920507,6894.89660514215,716.522159693841,78.061214835776,355.041066657008,"Rpom","full","cold","1","5",27
18624.5411386306,2402.59354225539,92507.1206660811,18465.5897760999,7456.63998778764,559.62559667142,18998.8133638169,6555.27708071724,75297.5606236421,15073.1775296535,6301.84410266501,691.500781023364,77.8102792817831,338.510473827603,"Rpom","full","cold","2","5",27
18002.6986029657,2411.49371536435,85321.1334834001,17009.2131486772,6858.63703352277,549.721689361745,18484.8379359423,6569.26134636155,69930.9389968405,13988.4596545772,5847.17860942594,665.713046725953,76.838558753167,342.594930703463,"Rpom","full","cold","3","5",27
18173.3066040057,2227.3209517641,54928.7236138517,10786.3752900832,4290.8237107553,505.109778226313,18410.0609458394,6400.434146219,44667.037311402,8878.80258476555,3722.08288722529,534.530615011523,72.8057609945423,312.518965491271,"Amac","full","cold","1","5",27
17789.1059356805,2227.21437732957,57593.6382797505,11299.5473266487,4490.3476165175,509.736448434799,17861.0519825275,6399.65207613725,46303.4968959134,9203.46684739103,3857.67378013565,546.301446431029,73.4684644689807,299.986870532319,"Amac","full","cold","2","5",27
17559.6451301482,2243.89990648577,89886.60665212,17969.2966539661,7281.15742974075,561.801605579783,17685.6445329484,6376.83313006346,71791.6872024719,14424.8086922837,6072.64509282321,688.182041031259,77.9777391749967,312.636252853596,"Amac","full","cold","3","5",27
21757.9075421411,2304.49358175839,45351.1259547128,8935.32899107237,3586.91714764476,487.029593139337,22619.0752424263,6489.38258459848,38388.3711594187,7639.0930205287,3225.31500044746,487.351902122201,69.8636178947509,355.611502739801,"Rpom","noB12","cold","1","5",27
19525.4734933694,2595.21502675427,38191.740857818,7321.18480450594,2871.81342099159,481.538699245127,19181.6840311996,6733.52884022287,30207.2169855943,5939.11350637433,2519.24141842707,445.425383285443,69.077693227822,270.298761595797,"Rpom","noB12","cold","2","5",27
19996.171272143,2453.34027974353,23299.9466391994,4445.64101360438,1769.61212154791,456.598952346894,20562.8954734334,6662.51647081934,19559.4589254504,3812.38035348219,1654.12957252731,352.269136038763,62.4625831700573,305.769087181864,"Rpom","noB12","cold","3","5",27
20117.7808540883,2280.94949484816,27727.2122961912,5301.94376367461,2095.39750649309,463.106011161393,20374.4387653248,6473.99830863669,22831.4468369199,4472.12871916848,1922.42899333787,385.022204410185,64.9782139163287,292.782518365738,"Amac","noB12","cold","1","5",27
19792.4289854113,2258.18852263335,26587.4674432461,5090.74252710304,2019.44017770449,460.734532607911,20151.3552645305,6453.38459239109,22012.7969017068,4311.466922651,1860.28143933011,377.979938531661,64.5167252461542,299.66758347577,"Amac","noB12","cold","2","5",27
19110.0101859951,2263.61827782201,22881.9254117427,4329.29135066093,1711.72554279175,456.515674052184,19342.5641138939,6466.21372170291,18874.0273250389,3666.51386634002,1596.66189944651,350.614099752295,62.7494688084097,283.281717246037,"Amac","noB12","cold","3","5",27
